City served,State,ICAO,IATA,Airport name,Administrator
Gurupi,Tocantins,SWGI,GRP,Gurupi Airport,
Humaitá,Amazonas,SWHT,HUW,Francisco Correa da Cruz Airport,
Iguatu,Ceará,SNIG,QIG,Dr. Francisco Tomé da Frota Airport,
Ijuí,Rio Grande do Sul,SSIJ,IJU,João Batista Bos Filho Airport,DAP
Ilhéus,Bahia,SBIL,IOS,Jorge Amado Airport,Socicam
Imperatriz,Maranhão,SBIZ,IMP,Pref. Renato Moreira Airport,Infraero / CCR
Ipatinga / Santana do Paraíso,Minas Gerais,SBIP,IPN,Vale do Aço Regional Airport,Infraero
Itaituba,Pará,SBIH,ITB,Itaituba Airport,
Itanhaém,São Paulo,SDIM,TTY,Antônio Ribeiro Nogueira Jr. Airport,Voa São Paulo
Itaperuna,Rio de Janeiro,SDUN,ITP,Ernani do Amaral Peixoto Airport,
Itumbiara,Goiás,SBIT,ITR,Francisco Vilela do Amaral Airport,
Jaguaruna,Santa Catarina,SBJA,JJG,Humberto Ghizzo Bortoluzzi Regional Airport,
Januária,Minas Gerais,SNJN,JNA,Januária Airport,
Jijoca de Jericoacoara / Cruz,Ceará,SBJE,JJD,Comte. Ariston Pessoa Regional Airport,Socicam
Ji-Paraná,Rondônia,SBJI,JPR,José Coleto Airport,
Joaçaba,Santa Catarina,SSJA,JCB,Santa Terezinha Airport,
João Pessoa / Santa Rita,Paraíba,SBJP,JPA,Pres. Castro Pinto International Airport,AENA
Joinville,Santa Catarina,SBJV,JOI,Lauro Carneiro de Loyola Airport,Infraero / CCR
Juara,Mato Grosso,SIZX,JUA,Inácio Luís do Nascimento Airport,
Juazeiro do Norte,Ceará,SBJU,JDO,Orlando Bezerra de Menezes Airport,AENA
Juína,Mato Grosso,SWJN,JIA,Juína Airport,
Juiz de Fora,Minas Gerais,SBJF,JDF,Francisco Álvares de Assis Airport,Sinart
Juiz de Fora / Goianá,Minas Gerais,SBZM,IZA,Pres. Itamar Franco Airport (Zona da Mata),Socicam
Jundiaí,São Paulo,SBJD,,Comte. Rodolfo Rolim Amaro Airport,Voa São Paulo
Juruena,Mato Grosso,SWJU,JRN,Juruena Airport,
Juruti,Pará,SNRJ,JRT,Juruti Airport,
Lábrea,Amazonas,SWLB,LBR,Lábrea Airport,
Lages,Santa Catarina,SBLJ,LAJ,Antônio Correia Pinto de Macedo Airport,Infracea
